# id	left	top	right	bottom	texture_id
[SPRITES]
	# coin
40001	953	69	968	84	60
40002	970	69	985	84	60
40003	987	69	1002	84	60

	# small coin
41001	301	26	308	39	100
41002	310	26	317	39	100
41003	319	26	326	39	100
41004	328	26	335	39	100
	#brick
20001	1004	18	1019	33	60

	#cloud
21001	698	1	713	16	60

	### question-brick
# un-touched
22001	1140	1	1155	16	60
22002	1157	1	1172	16	60
22003	1174	1	1189	16	60
22004	1191	1	1206	16	60

# touched
22005	1208	1	1223	16	60

	### mushroom
#red
23001	1	45	16	60	80

#green
23002	19	24	34	39	120

	# leaf left & right
26001	55	24	70	37	120
26002	771	24	786	37	130

	### user-board
24001	11	127	164	156	40

	### user- card
24002	172	127	243	156	40

#number
28000	77	30	84	37	40
28001	88	30	93	37	40
28002	96	30	105	37	40
28003	106	30	115	37	40
28004	116	30	125	37	40
28005	126	30	135	37	40
28006	136	30	145	37	40
28007	146	30	155	37	40
28008	156	30	165	37	40
28009	166	30	175	37	40

# arrow
28102	64	161	71	168	40
28103	91	161	98	168	40

# P mark
28101	73	161	88	168	40
28100	100	161	115	168	40

# M mark
28200	15	160	32	168	40

# smoke
27001	1	14	16	29	100
27002	18	14	33	29	100
27003	35	14	50	29	100
27004	52	14	67	29	100

	# downbrick
25001	0	0	0	0	60

	# break-brick
# un-touched
29000	1038	1	1053	16	60
29001	1055	1	1070	16	60
29002	1072	1	1087	16	60
29003	1089	1	1104	16	60

# touched
29004	373	29	380	38	100
29005	382	29	389	38	100

	#button P
#un-active
29100	1174	69	1189	84	60
29101	1191	69	1206	84	60
29102	1208	69	1223	84	60

#active
29103	1225	69	1240	84	60

	#card
#mushroom
	#color
29200	1	45	16	60	80
	#white
29201	1	157	16	172	100
29202	18	157	33	172	100
29203	35	157	50	172	100
29204	52	157	67	172	100

#flower
	#color
29210	18	45	33	60	80
	#white
29211	1	175	16	190	100
29212	18	175	33	190	100
29213	35	175	50	190	100
29214	52	175	67	190	100

#star
	#color
29220	52	45	67	60	80
	#white
29221	1	193	16	208	100
29222	18	193	33	208	100
29223	35	193	50	208	100
29224	52	193	67	208	100

	### point
#100
29300	60	89	71	96	40

#1000
29301	119	89	134	96	40

#1up
29302	195	89	210	96	40

	### tail slap enemy
29400	379	1	394	16	30
29401	397	1	412	16	30

29402	379	19	394	34	30
29403	397	19	412	34	30

	########## WORLD MAP ##########
	### turtle
29500	38	177	53	192	200
29501	55	177	70	192	200

	### plant
29510	4	310	19	325	200
29511	21	310	36	325	200
29512	38	310	53	325	200
29513	55	310	70	325	200
	
	### help
29520	123	177	138	192	200
29521	0	0	0	0	200

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
	#coin
11000	40001	150	40002	150	40003	150
11002	40001	10000
	# small-coin
11001	41001	100	41002	100	41003	100	41004	100
	#brick
10000	20001	1000

	#cloud
10001	21001	1000

	#question brick
10002	22001	200	22002	200	22003	200	22004	200
10003	22005	10000

	#mushroom red
10004	23001	10000

	#downbrick
10006	25001	10000

	#leaf
10007	26001	10000
10008	26002	10000

	#smoke
10009	27003	200	27001	200	27002	200

#number
10010	28000	10000
10011	28001	10000
10012	28002	10000
10013	28003	10000
10014	28004	10000
10015	28005	10000
10016	28006	10000
10017	28007	10000
10018	28008	10000
10019	28009	10000

#arrow
	#normal
10022	28102	1000
10023	28103	1000

#P mark
	#normal
10020	28100	100
	#active
10021	28100	150	28101	150

#M mark
10024	28200	1000

	#break brick
10024	29000	300	29001	300	29002	300	29003	300
10025	29004	200	29005	100

	# button P
#un-active
10026	29100	150	29101	150	29102	150

#active
10027	29103	10000

	#mushroom green
10028	23002	10000

	#card
#mushroom
10100	29200	10000
10101	29201	150	29202	150	29203	150	29204	150
#flower
10102	29210	10000
10103	29211	150	29212	150	29213	150	29214	150
#star
10104	29220	10000
10105	29221	150	29222	150	29223	150	29224	150

	### point
#100
10200	29300	10000
#1000
10201	29301	10000
#1up
10202	29302	10000

	### tail
10300	29400	25	29402	25	29401	25	29403	25

	#user-board
10400	24001	10000

	#user-card
10401	24002	10000

	########## WORLD MAP ##########

10900	29500	150	29501	150
10901	29510	300	29511	300	29512	300	29513	300
10902	29520	300	29521	300
